Date,Age,Missing from,Circumstances,
c. 1671,40–41,Location unknown,"A Dutch pirate born in the town of Groningen, Roche Braziliano, whose career lasted from 1654 until 1671, disappeared during that year, and was never seen again.",
April 1686,40–41,"Near St. Augustine, Florida, U.S.","The French privateer renowned for attacking Spanish flagships from 1670 to 1686, was lost in a storm together with his entire crew while on a rescue mission to save fellow buccaneer Nicolas Brigaut.",
1688,Unknown,Jamaica,"Coxon, a buccaneer and member of the Brethren of the Coast who was infamous for his various raids on the Spanish Main through the 17th century, turned to hunting pirates in 1682. He, his 97-man crew, and an eighty-ton ship armed with eight guns, mysteriously disappeared in 1688; their fate is unknown.",
1694,Unknown,Indian Ocean,"Ridderschap van Holland arrived at the Cape of Good Hope on 9 January 1694, remaining there until 5 February. Ridderschap van Holland sailed from the Cape with a crew of around 300, and two passengers, including Admiral Sir James Couper. She never reached her destination, and was never heard from again. Contemporary rumours suggested that she had sprung her mast rounding the Cape, limped north and been captured by pirates based at Fort Dauphin, near the south-eastern corner of Madagascar. However, Abraham Samuel, the pirate supposedly responsible, did not arrive in the area until 1695.",
January 1726,Various,Indian Ocean,"The Aagtekerke, a ship of the Dutch East India Company, left for Batavia in the Dutch East Indies on 27 January 1726, but was lost with all hands and without trace. It was carrying silver coins and precious metals with a total value of 200,000 guilders. There is some evidence from the crew of the wrecked ship Zeewijk that Aagtekerke was wrecked on the Abrolhos Islands, because they found some remains of a Dutch vessel that had been wrecked before them.",
1750 or 1760,Unknown,"Rhode Island, U.S.","The Sea Bird, which also went by other names, was a merchant brig that, after a Honduras voyage and then grounding in Rhode Island at Easton's Beach in either 1750 or 1760, had lost its longboat. No people were found living on it; all that was found was a cat and a dog. The crew aboard was never seen again. The ship itself was sold to a merchant of Newport, renamed the Beach Bird under which name she made many voyages.",
28 October 1758,56–57,Irish Sea,Edward Moore was an Anglo-Irish peer and politician who went missing in a storm at sea while travelling between Holyhead and Dublin and is believed to have died.,
29 October 1766,75–76,Atlantic Ocean,"The British soldier and politician was lost at sea while travelling from Dublin, Ireland to Holyhead, Wales in a packet boat.",
c. January 1770,37,Indian Ocean,"Vansittart, MP and director of the East India Company, Scrafton and Forde formed a delegation to investigate corruption and reform the British government in India and sailed on the frigate Aurora. Scottish Royal Navy midshipman Robert Pitcairn after whom the Pitcairn Islands are named, and Scottish epic poet William Falconer were also on board. The Aurora disappeared with all hands around January 1770, apparently in a storm. The captain had decided to sail the Mozambique Channel despite bad weather.",
Luke Scrafton,,,,
Francis Forde,,,,
William Falconer,,,,
Robert Pitcairn,,,,
1778,43–44,Caribbean Sea,"Church, the first Surgeon General of the United States Army, was imprisoned for communicating with the British in 1776. He was released in 1778, and shortly thereafter disappeared while sailing from Boston.",
17 December 1779,30,Caribbean Sea,"Thomas Lynch Jr. was a signer of the United States Declaration of Independence. In late 1779, he and his wife Elizabeth set sail to Sint Eustatius in the West Indies. The ship disappeared shortly after its departure.",
January 1780,Unknown,Location unknown,"Connor, a Continental Army officer who served as Adjutant General in 1777, was lost at sea in January 1780.",
December 1780,38–39,Atlantic Ocean,William Palfrey was an American Patriot born in 1741. He went missing after getting lost at sea in December 1780 following a business trip to France.,
c. December 1781,Unknown,Location unknown,"Carpenter disappeared with the rest of the crew of HMS Necker, presumed foundered while sailing from Saint Helena to the East Indies.",
March 1781,40–41,Caribbean Sea,"Young, a captain of the American Continental Navy, was the commander of the USS Saratoga when it vanished at sea during a gale while returning home from present-day Haiti.",
1788,46–47 (Galaup),"Botany Bay, Australia","The French expedition of Jean-François de Galaup, Comte de Lapérouse, disappeared after their last stop at Botany Bay (now Sydney), after meeting ships of Britain's First Fleet bringing convicts to establish the new settlement that became Australia. The wrecks of the expedition's two ships, the Boussole and Astrolabe), were subsequently discovered by Dumont-D'Urville during his second trip around the world at Vanikoro, an island in the Santa Cruz group (part of the Solomon Islands) where the survivors may have set up camp.",
July–August 1788,20,Caribbean Sea,"Rivéry, a French heiress, vanished at sea while returning home to Martinique from the mainland. A popular legend suggests that she was abducted by pirates and sold as a concubine to the Ottoman Sultan under the name Nakşidil Sultan, but this has never been proven.",
1794,Unknown,Mediterranean Sea,"Captain Robert Manners Sutton disappeared with the rest of the crew of HMS Ardent in 1794, believed lost to a fire and explosion.",
31 January 1797,Unknown,Location unknown,"Commander William Mulso disappeared with the rest of the crew of HMS Hermes on 31 January 1797, presumably foundered during a gale.",
19 December 1799 or after,Unknown,Atlantic Ocean,"Captain Atkinson disappeared with the rest of the crew of Mildred on or after 19 December 1799, while sailing from Jamaica.",
c. September 1800,Unknown,West Indies,"Fletcher was in command of the USS Insurgent when it disappeared near the West Indies in 1800. A severe storm struck the West Indies on 20 September, and it is thought to have caused the loss as well as that of the Pickering.",
c. September 1800,37–38,West Indies,"Ingraham, an American sailor and maritime fur trader credited with discovering several islands in the Marquesas Islands territory as well as a three-year-long voyage across the world, disappeared while serving aboard the USS Pickering along with the rest of the crew, presumably lost in a gale.",
c. 25 October 1800,Various,Caribbean Sea,"HMS Babet was a 20-gun sixth-rate post ship of the British Royal Navy. The vessel and her crew disappeared shortly after departing from Fort Royal Bay, Martinique on 24 October 1800. She is believed to have foundered during a tropical storm.",
c. 1802/1803,Unknown,Location unknown,"The HCS Intrepid, captained by George Roper, and HCS Comet, captained by Lieutenant William Henry, were both sent by the East India Company to search for what caused the loss of the Earl Talbot. They reportedly made many discoveries relating to natural history and geography, and saw wreckage of other vessels on uninhabited islands, but found nothing further concerning Lord Eldon. By 1803, they were recognized to have disappeared without a trace, and presumed to have foundered at sea.",
William Henry,,,,
5 February 1803,32,"Port Jackson, Australia",The British explorer of Australia set sail from Sydney for South America and was never heard from again.,
1 December 1804,Unknown,English Channel,"Hawk, under Tippet's command, and Boadicea were cruising in the English Channel when on 1 December Hawk set off in pursuit of a strange sail. She never reappeared. The Admiralty presumed that she had foundered and paid her off on 31 December 1804.",
1807,Unknown,Mediterranean Sea,"Moucheron disappeared in the eastern Mediterranean in early 1807, with some accounts specifying the Dardanelles. As no trace of her or her crew was ever found, this is pure conjecture. The Royal Navy officially paid her off effective 7 June 1807.",
c. September 1807,Unknown,Unknown,"HMS Elizabeth disappeared without a trace, presumed to have foundered with all hands.",
c. November 1808,Unknown,Unknown,"Experiment, Glory and Lord Nelson parted company with the fleet in a gale between 20 and 23 November, at 8°30′S 80°00′E﻿ / ﻿8.500°S 80.000°E﻿ / -8.500; 80.000. None of the three vessels was ever heard of again. The EIC declared that the value of its cargo on Experiment was £5,592.",
March 1809,Unknown,"Cape of Good Hope, South Africa","Scottish British Army officer MacDowall disappeared with the rest of the crew of the Lady Jane Dundas in March 1809, while sailing back home to England.",
13/14 March 1809,Unknown,Indian Ocean,"Harrier was in company with her sister ship Racehorse, about 1,000 nmi (1,900 km; 1,200 mi) from Rodrigues. Harrier fell behind and was never seen again. She was presumed to have foundered with all hands.",
27 August 1809,Unknown,Atlantic Ocean,"Captain J. Hill disappeared with the rest of the crew of the Bellona in 1809, while sailing back home to England from Jamaica.",
16 February 1810 or after,Unknown,Tasman Sea,"Bader, the commander of the ship Active, disappeared after landing a sealing party on the Open Bay Islands and subsequently setting sail for Sydney.",
2–3 January 1813,29,"Coast of South Carolina, U.S.","The daughter of U.S. Vice President Aaron Burr, and sometimes called the most educated American woman of her day, sailed from Georgetown, South Carolina, aboard the Patriot, which was never seen again.",
c. October 1814,32–33,Atlantic Ocean,"Blakeley, an officer in the United States Navy during the Quasi-War with France and the War of 1812, was in command of the sloop-of-war Wasp when it was lost in the Atlantic in October 1814.",
28 February 1814,Unknown,English Channel,"Anacreon was last sighted on 28 February 1814 in the English Channel as she was returning from Lisbon. Soon thereafter, she disappeared without trace in a storm. All aboard were lost.",
c. July/August 1815,Unknown,Atlantic Ocean,"After the Dey signed a treaty, Decatur chose Epervier, under Lieutenant John T. Shubrick, Guerriere's former first lieutenant, to carry a copy of the treaty and some captured flags to the United States. Captain Lewis, and Lieutenants Neale and John Yarnall, came on board as passengers. Epervier sailed through the Straits of Gibraltar on 14 July 1815 and was never heard from again. Epervier may have encountered a hurricane reported in the Atlantic on 9 August 1815. In all, she was carrying 132 sailors and two marines.",
c. August 1815,Unknown,Unknown,"On 2 August 1815 as Preston was sailing from Jamaica to London in a convoy she encountered a gale that cost her her main and mizzen masts. A later report stated that Preston, Grierson, master, had been seen since the gale. The last report concerning the convoy of which Preston was one of the 89 vessels in the convoy that left Jamaica on 19 July, stated that Preston, Grierson, master, was one of the eight still missing.",
8–17 January 1816,Unknown,"Port Jackson, Australia","The commander of the 90-ton brig Amelia, Shaw disappeared after departing from Port Jackson, Australia on the way to Java and Canton, China, carrying 50 tons of sandalwood and five tons of coal.",
July 1816,Unknown,Tasman Sea?,"The commander of the ship Whale, Winney and two crew members disappeared in July 1816 after heading out of Sydney bound for Hawkesbury.",
1816/1817,Unknown,Location unknown,Captain Jonathon Read commanded Anna when it was lost at sea in 1816 or 1817.,
28 January 1821,Unknown,Pacific Ocean,"Sailors on the whaler Essex, which sank in the Pacific on 20 November 1820 after being struck by a sperm whale. Their whaleboat was separated on the open sea from their fellow crewmen on 28 January 1821; it was never seen again. Years later, a boat with three skeletons inside was discovered washed up on Ducie Island, but the skeletons were not identified as being theirs.",
William Bond,,,,
Joseph West,,,,
22 April 1822,49,Off the coast of Ireland,"The French military officer and general during the Napoleonic Wars later fled to America to escape prosecution from the loyalists. He was allowed to return, but presumably died when his ship sank off the coast of Ireland.",
c. 5 February 1823,42,Gulf of Honduras,"French pirate and privateer Jean Lafitte was granted a commission from the Great Colombia government to take Spanish ships in June 1822. He is thought to have died on 5 February 1823 while trying to take two Spanish merchant vessels in the Gulf of Honduras, but rumors abounded that he had a different fate.",
June 1827,32–33,near Sierra Leone,"Clavering, a British Royal Navy officer and Arctic explorer, served as a commander of HMS Redwing when it disappeared near Sierra Leone with all hands, never to be seen again.",
April 1831,42,South Pacific Ocean,The Italian naturalist and botanist known for documenting the flora and fauna in the West Indies and South America presumably died in a shipwreck while on a voyage from Tahiti to Chile.,
17 July 1835,Unknown,Unknown,Forth departed from Manila on 17 July 1835 for London. She disappeared without a trace and was presumed to have foundered with the loss of all hands.,
1840,Various,Atlantic Ocean,"The Rosalie, a large French vessel, was found abandoned with sails set and cargo intact. Its crew had vanished.",
17 March 1841,37–38,Atlantic Ocean,Roberts was the captain of the SS President when it disappeared in a gale while returning back to Liverpool from New York. Methodist clergyman Rev. George Grimston Cookman who served as the Chaplain of the Senate and Irish comic actor Tyrone Power were among the passengers who were lost.,
George Grimston Cookman,,,,
Tyrone Power,,,,
July 1845,59 (Franklin),Victoria Strait,"The expedition led by Sir John Franklin, with 129 seamen, made last contact with a whaling ship before entering Victoria Strait in search of the Northwest Passage. The remains of some individuals, written messages and the wrecks of the ships HMS Erebus (in 2014) and HMS Terror (in 2016) were later discovered. However, the majority of the crew, including Franklin himself, were never found, with the crew having probably died from a combination of lead poisoning, starvation and exposure.",
7 October 1849,34,Mediterranean Sea,"Arban was a French balloonist renowned as the first person to cross the Alps in a balloon. On 7 October 1849, he took on a flight from Barcelona but was blown over to the Mediterranean Sea, where he disappeared and is thought to have died.",
17 May 1852,51,Tasman Sea,"The Anglo-Irish landowner and High Sheriff of Westmeath in 1844 disappeared while sailing from Melbourne to Sydney, Australia.",
28 or 29 September 1854,Unknown,Caribbean Sea,"As of 30 June 1854, the crew of Albany consisted of 18 officers, 156 seaman, and 23 Marines. It is likely the ship's complement was little changed when she was lost three months later. The crew included several sons and grandsons of prominent men: Commander James T. Gerry, youngest son of Elbridge Gerry, formerly Vice President of the United States, Lieutenant John Quincy Adams, grandson of the second president and nephew of the sixth, and Midshipman Bennet Israel Riley, son of Brevet General Bennet C. Riley, the former military governor of California during its statehood controversy.",
23 January 1856,47,Atlantic Ocean,"Eldridge was the commander of the SS Pacific when it disappeared under mysterious circumstances while sailing to New York from Liverpool. The bishop of Hartford, Bernard O'Reilly, who was returning from a trip to Europe, was among those lost.",
Bernard O'Reilly,,,,
March 1867,22,Australia,"Sholl, a government official and explorer, was lost at sea when the schooner Emma disappeared during a storm.",
4 December 1872,37,Atlantic Ocean near Azores,"Briggs, his wife Sarah, their daughter Sophia, and all seven crew members were missing when the Mary Celeste was found adrift in choppy seas some 400 mi (640 km) east of the Azores. Their unexplained disappearances are at the core of ""one of the most durable mysteries in nautical history"".",
Sarah Elizabeth Briggs,,,,
Sophia Matilda Briggs,,,,
c. 14 February 1880,Various,Atlantic Ocean,"HMS Juno disappeared while sailing from Royal Naval Dockyard in Bermuda en route to Falmouth, England on 31 January 1880. The vessel is presumed to have sunk in a storm sometime between 12 and 16 February.",
10 October 1880,28–29,"Bermagui, Australia","Young, a government geologist inspecting new gold fields on behalf of the New South Wales Mines Department, together with his assistant Max Schneider, boat owner Thomas Towers and two other men disappeared after leaving Bermagui, New South Wales, Australia in a small boat. The nearby location where the abandoned wreck of their boat was discovered was subsequently named Mystery Bay.",
25 March 1881,64,"Hobson's Bay, Australia","Hughes, an English-Australian grazier and politician of the South Australian colony, is thought to have drowned on vacation while swimming, but his body was never recovered.",
12 September 1881,33,Laptev Sea,"Chipp, an American naval officer and explorer, took part in the Jeannette expedition, which aimed to discover a route from the Pacific Ocean to the Bering Strait. The ship became crushed and sank in June 1881. After a long trek across the ice to the water, the crew set out in three small boats, but later became separated in a storm. The boat that Chipp was commanding was never seen again.",
10 December 1881,39,English Channel,"Walter Powell, a Welsh politician member of the Conservative party member in the House of Commons in between 1868 and 1881 as well as a colliery owner, disappeared in a balloon over the English Channel on 10 December 1881 and was never seen again.",
29 August 1884,Various,"Labrador, Canada","The merchant ship Resolven was found abandoned off the coast of Labrador on 29 August. A lifeboat was missing and it was assumed that all 11 on board had evacuated in the face of nearby icebergs, but neither they nor the lifeboat were ever found.",
22 July 1886,66,Atlantic Ocean,"A Union Army brigadier general, Van Alen either fell or jumped into the sea while on board the RMS Umbria, while returning home from a trip to England.",
29 September 1889,56,Tasman Sea,"Jackson, an English-born New Zealand Member of Parliament who represented the Waikato region from 1872 to 1875, went missing while travelling on board the SS Rotorua. It is presumed he became sick and fell overboard.",
12 July 1890,37,"Cape Horn, Chile (presumed)","A member of the House of Habsburg-Lorraine who renounced his royal titles and went on to live as a sailor, Salvator and his wife were presumably killed when their ship was sunk during a storm in Cape Horn, but other theories have been proposed that Salvator instead assumed a new identity and lived the rest of his days in South America.",
13 March 1892,46,"Bénodet, France","Fol, a Swiss zoologist regarded as the father of modern cell biology, disappeared with several crew members of his yacht shortly after leaving Bénodet, France.",
26-Oct-02,44,East Siberian Sea,A group of Russian explorers led by Baron Eduard von Toll left Bennett Island in Siberia and were never seen again.,
On or After 16 November 1903,Unknown,Indian Ocean,"In early 1904 speculation and concern about the missing ship appeared in the press.
She was never heard from again and no scrap of wreckage was ever found. The crew consisted of: Thomas Williams (master), J. M. Scott (first mate), G. Howell (second mate), J. A. Gibbons (carpenter), C. L. Williams (sailmaker), W. Williams (cook and steward), A. Gaerkens, H. Skinner, D. Friel, T. Williams, T. T. Gunn, J. L. James, G. Hartfield, L. J. Monoghan, C. Burns and S. Thomas (boy). The captain's wife (Mrs. Williams) was also on the articles as stewardess. Five men: N. M. McKcnzie, F. Bucknall. R. Leppar, C. Nelson, joined the vessel at Port Adelaide. F. Bucknall was the son of Frederick Estcourt Bucknall, a former parliamentarian, brewer and real estate developer who lost his fortune in a recent recession.",
27-Jul-09,Various,"Mbhashe River, Colony of Natal","The SS Waratah, a 500-foot passenger-and-cargo steamship built in 1908 by the Blue Anchor Line to operate between Europe and Australia, disappeared on her second voyage from Durban to Cape Town with 211 passengers and crew aboard. The last confirmed sighting of her was by a fellow steamer on 27 July, and her ultimate fate remains unknown.",
14-Nov-09,65,"Martha's Vineyard, Massachusetts, U.S.","Slocum, a Canadian-American sailor and first man to sail single-handedly around the world (1895–1898), disappeared after setting sail from Vineyard Haven on Martha's Vineyard alone, bound for South America, aboard the same 36 ft 9 in (11.20 m) sloop Spray he had used for his circumnavigation.",
22-Dec-10,30,English Channel,"Pioneer aviator Grace disappeared over the English Channel on 22 December 1910 while returning to Eastchurch via Dover from Calais after having gone there to attempt to win the Baron de Forest Prize, but deciding not to due to strong winds. His pilot's goggles and cap were recovered on 6 January 1911, and his body was possibly found on 14 March 1911, but was too badly disfigured to be identifiable.",
05-Jun-11,32,Mediterranean Sea,"Bague, a former lieutenant in the Algerian tirailleurs and aviator, disappeared while attempting to cross the Mediterranean Sea without a compass. Several expeditions to locate the plane or Bague's remains were made, but no trace was ever found.",
18-Apr-12,34,Irish Sea,"Allen, an Irish-born British aviator, disappeared on 18 April 1912 while attempting to fly solo from Holyhead, Wales, to Ireland in a Blériot monoplane.",
c. 1913,38,Kara Sea,"Rusanov, a Russian geologist and Arctic explorer, led an expedition with the initial goal of establishing mineral claims on Spitsbergen, but later expanded to include investigating the Northeast Passage. They sailed in the Hercules captained by Alexander Kuchin. The expedition was last heard from in August 1912, when Rusanov sent a message stating that he was continuing east, before disappearing a year later in the Kara Sea. Artifacts found decades later show that they managed to cross that sea.",
Alexander Kuchin,,,,
13-Oct-13,27,North Atlantic Ocean,"Jewell, an early U.S. aviator, disappeared off Long Island, New York, on 13 October 1913, en route to Oakwood, Staten Island, in order to take part in The New York Times American Aerial Derby.",
23-May-14,24–25,English Channel,"Hamel, a British aviation pioneer who was most prominent for developing and promoting flying in Hendon Aerodrome, disappeared over the English Channel while flying a new plane. In July, a fishing vessel saw a body floating in the ocean, which, although they didn't retrieve it, was believed to be Hamel's.",
18/19 August 1914,44,Bergen,"Swedish chemist, engineer and industrialist Albert Petersson disappeared during a boat trip from Odda, Norway to Bergen.",
03-Dec-14,43,Macquarie Island,"Dannevig, a Norwegian-born Australian superintendent of fisheries for New South Wales, disappeared during an investigation on 3 December 1914.",
c. September 1916,Unknown,Atlantic Ocean,"Bremen departed Bremerhaven in September 1916 for Norfolk, Virginia, commanded by Kapitänleutnant Karl Schwartzkopf, and reportedly carrying financial credits for Simon Lake to begin building cargo submarines for Germany. It did not complete this voyage and Bremen's fate is a mystery. Several views have been put forth as to the nature of her fate. German U-boat U-53 had been assigned to join Bremen as protection against British attacks but failed to make contact. Its commander Hans Rose reported having heard a radio broadcast on 28 September 1916 stating that Bremen had been sunk.",
15-Apr-17,57,Aegean Sea,"Ruffer was a Swiss-born British experimental pathologist and bacteriologist, who is considered a pioneer of modern paleopathology. On 15 April 1917 while travelling to Egypt aboard the SS Arcadian, the ship was sunk by a U-boat. He was last seen two times floating in the sea: first upright and alive and then in a different position, presumably dead. His body was never recovered.",
13-Feb-18,Unknown,Unknown,"Bernoulli's final patrol was in February 1918, on close blockade duty off Cattaro. The submarine was not heard from after 13 February 1918 and is believed to have struck a mine off Cattaro and sunk. All 23 of her crew were lost. Her commander, Rene Audry, was honored by having a submarine named after him.",
c. November 1918,33,"Salina Cruz, Mexico","Swiss writer, poet, artist, and boxer Arthur Cravan was last seen in Salina Cruz, Mexico around November 1918.",
c. 1919,30,Cape Chelyuskin,"Knutsen, a Norwegian seaman who accompanied explorer Roald Amundsen on an expedition to the Arctic, volunteered to accompany Peter Tessem to the telegraph station at Dikson Island. Tessem asked to leave the expedition due to chronic headaches. The pair was also tasked to deliver the mail and scientific reports of the expedition's first year in the ice. A stone hut was built for them on land, and they were instructed to wait for the freeze-up[128] and travel towards Dikson when the opportunity arose, but both disappeared along the way. Tessem's body was found and buried several years later, while Knutsen's was never located.",
26-Oct-19,35,Atlantic Ocean,"Empress, a British silent film actress, was last seen in Stateroom 480 on the SS Orduña the night before its arrival in New York City.",
21-Feb-20,24,Irish Sea,"Pithey, a South African flying ace and balloon buster, crashlanded while conducting a ferry operation. Neither his remains nor plane were ever recovered.",
26-Jan-21,Various,Atlantic Ocean,"Hewitt left fully loaded from Sabine Pass, Port Arthur, Texas on 20 January 1921. She was bound for Portland, Maine with a stop in Boston, Massachusetts. She made her regular radio calls on 24 January and 25 January,[132] and reported nothing unusual. She was last seen 250 nmi (460 km) north of Jupiter Inlet, Florida. From that time to this, she remains missing. No further radio signals from her were received.[133] After the Hewitt failed to arrive in Boston on its expected due date of 29 January, Union Sulphur sent the ship's wireless call (K I L) through Atlantic coastal stations, and notified the U.S. Navy. A huge search along her route found nothing.",
31-Jan-21,Various,"Cape Hatteras, North Carolina, U.S.","The captain and ten crewmen of the schooner Carroll A. Deering were missing when the schooner was found run aground off Cape Hatteras, North Carolina, on 31 January 1921. A mutiny was suspected, but the reason for their disappearance has never been established.",
26-Nov-21,37,Atlantic Ocean,"The American soldier and Medal of Honor recipient who led the ""Lost Battalion"" in World War I was last seen on the evening of 26 November 1921 on a passenger ship bound from New York City to Havana. It is presumed he committed suicide by jumping overboard.",
20-Sep-22,68,Atlantic Ocean,"Sartorio, an Italian sculptor, disappeared while travelling on board the steamer Tocra, which was returning to Italy from Canada.",
c. 8 May 1927,31,Atlantic Ocean,Both French aviators disappeared with their Levasseur PL.8 L'Oiseau Blanc while attempting to make the first non-stop transatlantic flight from Paris to New York.,
François Coli,,,,
16-Aug-27,22,Pacific Ocean,The Canadian aviation enthusiast and sole woman to participate in the Dole Air Race vanished at sea like several other competitors and was never found.,
18-Aug-27,28,Pacific Ocean,"Lt. Erwin was an American flying ace active during World War I credited with eight aerial victories. He vanished while participating in the Dole Air Race spanning between Oakland, California and Hawaii. He is believed to drowned in the ocean.",
31-Aug-27,37,Atlantic Ocean,"Hamilton, a British flying ace credited with six aerial victories, along with pilot Minchin and the Princess disappeared over the Atlantic Ocean while attempting the first non-stop east–west flight across the Atlantic Ocean. The plane, St. Raphael, owned by passenger Princess Anne, was last seen flying over the Atlantic by an oil tanker and was never seen again.",
Leslie Hamilton,,,,
Princess Anne of Löwenstein-Wertheim-Freudenberg,,,,
06-Sep-27,45,Atlantic Ocean,"Hill and Bertaud were American aviators who disappeared aboard the Old Glory while attempting a transatlantic flight. They were accompanied by Payne, the editor of the New York Daily Mirror. One of the plane's wings was later found off the coast of Cape Race, but no trace of the crew was ever found.",
Lloyd W. Bertaud,,,,
Philip A. Payne,,,,
23-Dec-27,31,Atlantic Ocean,"In 23 December 1927, Grayson, pilot Omdal, navigator Goldsborough, and radio engineer Koehler took off from Curtiss Field in order to set the record for the first woman to cross the Atlantic, but the plane disappeared at sea. No trace of either the plane or the crew has been found since.",
Frances Wilson Grayson,,,,
Brice Goldsborough,,,,
Frank Koehler,,,,
10-Jan-28,34,Tasman Sea,"The pair of New Zealanders were the first to attempt the Trans-Tasman flight from New Zealand to nearby Australia. After their departure from Sydney, neither the pilots or the aircraft were ever seen again.",
George Hood,,,,
13-Mar-28,34,Atlantic Ocean,"Hinchliffe, a decorated flying ace, and Mackay, an actress and aviation pioneer, attempted to cross the Atlantic Ocean in a bid for Mackay to become the first woman to have succeeded in the transatlantic flight. The plane was last seen near the west of Cork, Ireland, but nothing more is known of it.",
Elsie Mackay,,,,
25-May-28,32,Arctic Ocean,"Italian physicist Pontremoli joined the polar expedition of General Umberto Nobile who was in command of the airship Italia. The airship crash-landed on ice, after which the airship envelope drifted away and disappeared while carrying Pontremoli, who was observed as alive and conscious, and five other people.",
18-Jun-28,55,Barents Sea,"Norwegian polar region explorer Amundsen, French pilot Guilbaud and Norwegian pilot Dietrichson disappeared in the Arctic along with the French crew of the Latham 47, co-pilot Albert Cavelier de Cur, mechanic Gilbert Georges Paul Brazy, and radio operator Emile Valette on 18 June 1928, while flying on a rescue mission for the missing members of the crew of Umberto Nobile's airship Italia over the Barents Sea. The search for Amundsen and his team was called off in September 1928 by the Norwegian Government. No bodies were ever found.",
René Guilbaud,,,,
Leif Dietrichson,,,,
Albert Cavelier de Cuverville,,,,
Gilbert Georges Paul Brazy,,,,
Emile Valette,,,,
03-Oct-31,29,Tyrrhenian Sea,"De Bosis, an Italian poet, aviator and anti-fascist, took off from Marseille on a small Klemm L 25 heading for Corsica and then Italy. He reached Rome and circled over the city centre for a half hour, dropping thousands of antifascist leaflets. Before Italian Air Forces can arrive, he had flown off to sea for Corsica, never to be seen again.",
03-Dec-34,36,Pacific Ocean,"Ulm was an Australian aviator who, together with Sir Charles Kingsford Smith, was the founder of the Australian National Airways. In December 1934, he, his copilot and his navigator disappeared in the Pacific Ocean during a test flight from Oakland, California to Hawaii in the aircraft Stella Australis.",
